date,score,city,comment,nick
2018-07-31,3,吴江,这种电影哪来的9分？？？,pRS218385672
2018-07-31,5,潮州,很有感触，大家可以去看看,SMf929374584
2018-07-31,4.5,汕尾,搞笑，好看看支持,rBL999070768
2018-07-31,4.5,上海,沈腾的片子一如既往的无厘头，片子还是蛮有意义的，有力宏的加入更为片子添彩！女主能换个有感觉的一点更好，呵呵哒！,xiaoduozi
2018-07-31,4,衡水,跟看小品一样！,tTc880689799
2018-07-31,5,苏州,很逗～^_^,Syq374117824
2018-07-31,5,海口,一部不错的电影，笑点中也引发了人性的思考,袁海霞314
2018-07-31,4.5,深圳,好看不错好搞笑,豪豪7832
2018-07-31,2,合肥,不好看 全程的笑点很平淡 剧情无剧情 表示对这次沈腾的作品很失望,七宫主A
2018-07-31,5,莱阳,特别好看喜欢女一喜欢沈腾,BMs592969860
2018-07-31,5,峨眉山,好看，好笑。。,CRN272745267
2018-07-31,5,柳州,印象深刻的那个笔记本都是恩，😄也挺感染的,lJW188374936
2018-07-31,0.5,江阴,太扯淡了，浪费钱！！！,sAf692702749
2018-07-31,5,射阳,值得一看，适合带女票看看,董亮520
2018-07-31,5,惠州,开心麻花的作品总是那么精彩，让人印象深刻，全程笑点不断，保持笑点的同时还隐藏着一些哲理，这就是开心麻花。,邻家酱油妞丶
2018-07-31,5,衢州,捧腹大笑，尾部有感动！赞赞赞！,汪贱贱82
2018-07-31,2.5,合浦县,一般般吧。。无所谓,GKi816155506
2018-07-31,4.5,芜湖,炎热的夏天里添加喜庆，缓解工作🀄️的压力,陈桂龙2011
2018-07-31,5,眉山,好看的批爆,mKl939214231
2018-07-31,4,随州,😀😀😀还是蛮搞笑的,东东6300
2018-07-31,5,上海,很好，值得推荐,RvZ463270880
2018-07-31,5,江阴,不错，挺好的,evV486948484
2018-07-31,4.5,宜都,笑中带泪，宣扬正确价值观，人性亲情＞金钱💰 ，赞一个！,悟空5285
2018-07-31,5,广州,很好看，出乎我的意料,QYX698099704
2018-07-31,4,定西,作为一部喜剧显然是出色的，但中间演唱会的情节略显单调，让人觉得有些尴尬。,wrn962378457
2018-07-31,5,西宁,题材挺棒的，可以去看。,宫歆达
2018-07-31,4.5,玉林,笑点很多 全程都在笑,ONE14671
2018-07-31,1,盐城,说实话  先不论电影本身如何  未来影城的音效  我只能给一颗星,黑猫警长8931
2018-07-31,5,合肥,能把整个电影院的人，都逗的笑的前俯后仰的电影当然是成功的❤,tjy938768332
2018-07-31,5,青岛,好看，逗笑。,战邦德
2018-07-31,5,通江县,真的太搞笑了,Fsm571128161
2018-07-31,5,巴中,虽然喜剧的成分占多数但是也很感人。挺正能量的。喜欢,hGP884609331
2018-07-31,5,新郑,很好，期待下一部,l764931851
2018-07-31,5,无锡,超级无敌好看,mSH538882172
2018-07-31,4.5,丹东,炎炎夏日，在影院里吹着凉风，搞笑逗乐，此一赞！体表凉爽舒适，内心温暖，此二赞！完美体验。,IFv197634563
2018-07-31,4.5,天津,除了继承遗产这个老梗以外，真的很搞笑。,达奚彧菲
